id,date,category,region,status,value,amount,quantity,cost,profit
1,2023-10-07,B,Sur,Inactivo,57.86,1839.87,56,34.23,274.25
2,2023-11-09,D,Este,Activo,71.35,2054.79,45,43.3,310.21
3,2023-10-24,B,Oeste,Activo,81.25,4169.88,77,54.27,620.41
4,2023-04-05,A,Norte,Activo,92.41,76.83,3,6.97,12.6
5,2023-01-15,C,Centro,Inactivo,75.12,965.15,39,23.81,143.41
6,2023-04-26,B,Oeste,Activo,55.77,1199.5,25,48.72,428.9795395650162
7,2023-02-18,A,Centro,Activo,84.21,542.76,25,21.99,83.43
8,2023-09-05,B,Sur,Inactivo,68.13,1737.42,39,46,255.15
9,2023-04-22,B,Sur,Activo,71.89,1797.36,52,34.84,266.33
10,2023-08-26,B,Norte,Activo,77.79,330.09,19,19.88,53.76
11,2023-05-27,B,Centro,Pendiente,87.3,283.37,10,29.41,41.13
12,2023-09-15,A,Norte,Activo,94.52,1180.73,4,14.81,9.62
13,2023-05-18,B,Sur,Inactivo,72.59,779.67,17,46.55,112.74
15,2023-12-16,D,Este,Activo,69.4,5213.74,89,59.06,780.41
16,2023-02-24,B,Sur,Inactivo,64.63,354.32,18,21.9,57.27
17,2023-06-14,C,Norte,Activo,94.64,1342.33,33,42.51,197.35
18,2023-12-30,A,Norte,Activo,83.57,1007.48,25,38.8,147.15
19,2023-11-24,B,Centro,Inactivo,78.85,885.97,20,42.71,133.92
20,2023-06-26,B,Centro,Inactivo,93.39,5374.12,89,61.12,802.17
21,2023-06-26,C,Centro,Activo,80.6,692.3,18,38.97,110.02
22,2023-05-18,A,Centro,Activo,97.17,5773.2,102,55.85,861.44
25,2023-08-17,D,Norte,Inactivo,58.4,1180.73,42,30.29,195.44
26,2023-02-20,B,Sur,Activo,86.06,292.63,14,19.16,45.25
27,2023-07-02,B,Norte,Activo,101.33,837.24,37,23.33,126.48
28,2023-01-04,A,Norte,Activo,78,2696.07,57,47.86,400.59
29,2023-06-02,A,Este,Activo,64.2,925.88,29,32.1,140.77
30,2023-03-24,B,Norte,Pendiente,70.37,647.77,18,34.73,97.51
31,2023-07-16,B,Centro,Activo,94.62,1602.01,47,34.16,242.58
32,2023-04-07,D,Centro,Inactivo,70.23,6817.96,103,66.67,1014
33,2023-07-29,A,Norte,Activo,88.13,343.62,10,39.84,52.22
34,2023-07-27,A,Sur,Inactivo,72,201.94,11,19.88,33.48
35,2023-01-31,A,Centro,Activo,88.95,746.37,23,32.5,105.58
36,2023-06-09,A,Oeste,Pendiente,59.78,1230.35,45,28.71,184.32
37,2023-01-06,A,Centro,Inactivo,79.77,242.15,24,10.75,40.48
38,2023-04-15,D,Sur,Activo,81.48,338.77,15,23.67,56.44
39,2023-11-04,D,Norte,Pendiente,90.97,249.17,11,18.17,37.61
40,2023-02-10,B,Norte,Inactivo,72.34,6131.36,96,63.42,918.42
41,2023-10-01,B,Este,Activo,78.94,55.66,9,5,10.26
42,2023-08-17,C,Norte,Pendiente,86.34,783.79,26,32.91,118.69
43,2023-06-25,A,Norte,Activo,96.39,3095.29,67,48.22,461.93
44,2023-01-19,B,Este,Activo,69.73,4820.17,71,67.77,714.89
45,2023-02-23,B,Norte,Activo,89.47,1865.08,36,51.85,281.32
47,2023-03-19,B,Norte,Activo,101.86,50,10,10.89,11.65
48,2023-04-15,B,Centro,Pendiente,90.03,259.61,7,42.73,35.23
49,2023-06-10,C,Sur,Activo,79.33689264229524,1514.06,40,39.31,225.1
51,2023-12-19,C,Oeste,Activo,77.35,896.55,25,31.64,135.67
52,2023-11-01,C,Este,Activo,63.23,569.64,20,32.77,84.81
53,2023-12-24,A,Oeste,Inactivo,57.03,2988.69,54,55.12,442.53
54,2023-10-01,C,Este,Activo,70.64,7021.67,99,70.83,1047.39
55,2023-01-06,A,Oeste,Inactivo,59.12,239.51,11,20.16,35.86
56,2023-05-26,A,Norte,Activo,66.45,721.16,24,27.65,105.97
57,2023-09-02,B,Sur,Inactivo,59.44,469.07,15,30.74,68.95
59,2023-07-05,C,Norte,Activo,81.7,2354.35,51,45.75,347.99
60,2023-04-02,C,Centro,Pendiente,94.8,410.34,17,24.46,65.81
61,2023-01-15,C,Norte,Activo,95,13369.81,157,84.95,1997.6
62,2023-06-23,D,Norte,Pendiente,68.92,269.12,10,23.11,40.05
64,2023-02-10,C,Norte,Activo,87.91,5051.89,84,59.98,751.82
66,2023-08-27,B,Centro,Activo,92.02,2866.39,50,56.44,424.28
67,2023-06-25,A,Sur,Activo,72.9,22109.92,186,118.79,3300.48
68,2023-12-20,B,Centro,Inactivo,86.04,798.91,23,31.35,122.55
69,2023-09-21,A,Centro,Inactivo,83.39,2736.91,52,53.37,406.16
70,2023-02-08,A,Centro,Activo,103.82,931.83,26,38.29,135.22
71,2023-05-03,B,Sur,Activo,80.83,341.41,11,42.46383387320685,48
72,2023-09-07,B,Norte,Activo,87.59,1005.2,22,39.95,145.43
73,2023-08-05,A,Centro,Activo,102.75,1223.03,19,58.64,179.54
74,2023-09-13,A,Oeste,Pendiente,60.02,297.51,12,34.21,44.05
75,2023-12-11,B,Centro,Activo,90.98,17772.37,173,102.84,2652.69
76,2023-04-22,D,Sur,Activo,74.95,226.19,6,34.43,36
77,2023-01-08,A,Sur,Inactivo,54.77,866.39,20,38.04,127.26
78,2023-05-20,D,Centro,Pendiente,93.65,5209.78,89,58.31,775.61
79,2023-12-08,D,Norte,Activo,103.14,6807.19,100,68.02,1012.45
80,2023-04-17,B,Norte,Activo,89.11,225.08,9,26.28,32.37
81,2023-09-25,A,Centro,Pendiente,91.12,8440.3,128,65.84,1260.32
82,2023-04-19,D,Norte,Activo,88.55,569.52,16,42.46383387320685,89.54
83,2023-06-23,B,Sur,Activo,71.84,2245.5,54,43.56,428.9795395650162
85,2023-12-08,C,Este,Activo,68.52,520.71,17,27.04,78.29
86,2023-08-27,C,Norte,Activo,91.98,6051.6,90,67.07,900.73
87,2023-04-11,A,Norte,Inactivo,80.28,740.41,28,25,112.47
89,2023-12-20,C,Este,Activo,79.94,5712.34,77,74.05,853.86
90,2023-07-16,A,Sur,Activo,62.37,29194.15,214,136.59,4366.56
91,2023-12-10,B,Este,Activo,64.41,87.41,5,9.02,9.79
93,2023-11-09,A,Este,Activo,64.27,1772.33,48,37.88,265.38
94,2023-02-19,B,Centro,Activo,104.54,572.75,22,28.72,88.88
95,2023-02-14,B,Oeste,Activo,69.4,519.95,22,21.63,81.08
96,2023-07-07,A,Este,Activo,67.18,762.93,26,29.18,118.62
97,2023-11-27,B,Centro,Inactivo,76.21,3201.92,51,63.35,476.02
98,2023-03-16,B,Centro,Activo,85.59,939.87,28,33.5,139.86
99,2023-11-07,A,Este,Activo,61.36,2555.13,46,42.46383387320685,381.58
100,2023-01-20,A,Norte,Activo,80.72,673.24,21,31.52,100.22
101,2023-10-27,C,Oeste,Activo,73.36,173.63,13,22.08,25.79
102,2023-11-21,A,Centro,Activo,102.32,10454.24,134,77.84,1558.1
103,2023-05-15,C,Sur,Activo,79.39,222.26,11,24.13,34.2
104,2023-07-08,A,Norte,Activo,103.07,451.12,14,33.84,66.48
105,2023-05-01,A,Sur,Activo,69.04,12489.9,134,93.48,1865.38
106,2023-09-15,A,Sur,Inactivo,57.53,905.08,25,34.48,130.44
107,2023-09-26,C,Norte,Activo,79.55,512,25,21,79.52
108,2023-03-06,A,Centro,Inactivo,76.6,533.41,20,27.8,232.92
109,2023-12-26,A,Norte,Inactivo,73.52,756.08,26,29.54,111.79
110,2023-06-19,B,Este,Inactivo,57.92,1716.41,69,24.45,262.25
111,2023-04-18,B,Oeste,Inactivo,54.33,388.89,19,23.09,60.99
112,2023-05-13,D,Centro,Pendiente,90.95,735.97,26,27.84,113.81
113,2023-06-29,B,Sur,Inactivo,61.28,948.75,27,32.5,141.56
114,2023-03-30,A,Este,Activo,56.59,5323.62,92,58.99,790.8
115,2023-12-10,A,Norte,Activo,78.36,474.35,15,36.11,68.8
116,2023-11-22,A,Centro,Inactivo,70.06,388.18,31,14.7,59.99
117,2023-02-17,B,Centro,Activo,99.36,50,12,6.51,16.46
118,2023-05-23,A,Norte,Inactivo,59.23,199.09,16,6.17,29.28
120,2023-10-21,B,Sur,Activo,75.03,579.61,12,40.2,86.81
121,2023-09-23,A,Norte,Activo,82.91,6657.01,96,69.23,994.75
122,2023-04-09,B,Centro,Activo,102.78,3300.78,61,54.86,489.5
123,2023-05-26,A,Sur,Activo,77.18,224.95,9,28.79,31.2
124,2023-08-26,B,Norte,Activo,79.82,228.61,15,16.94,38.67
125,2023-12-17,D,Norte,Activo,85.5,98.1,13,8.4,26.8
126,2023-07-24,B,Norte,Inactivo,62.5,476.42,15,30.22,69.97
127,2023-10-20,C,Norte,Pendiente,80.3,654.63,21,35.55,97.69
128,2023-06-04,C,Sur,Inactivo,65.16,3981.06,63,62.74,588.79
129,2023-05-07,D,Sur,Activo,86.92,1812.44,41,44.03,266.68
130,2023-05-18,C,Centro,Activo,92.66,3491.72,74,47.67,521.49
131,2023-12-01,B,Centro,Activo,103.43,1180.73,34,28.01,147.57
132,2023-02-10,B,Norte,Activo,92.99,2413.79,43,55.75,358.18
133,2023-06-27,A,Centro,Activo,98.33,2950.87,56,52.77,440.57
134,2023-10-05,B,Oeste,Pendiente,68.15,1258.13,36,34.74,428.9795395650162
135,2023-06-21,B,Sur,Inactivo,61.83,3685.75,57,63.96,549.26
136,2023-04-26,B,Centro,Pendiente,82.53,1159.21,27,44.06,173.26
137,2023-05-14,C,Norte,Activo,102.89,1432.59,34,42.37,218.07
139,2023-10-26,A,Sur,Activo,79.83,3450.68,72,47.61,514.42
140,2023-03-31,B,Norte,Inactivo,72.01,2769.43,55,50.14,411.77
141,2023-05-29,D,Centro,Activo,79.33689264229524,5997.44,83,72.15,892.5
142,2023-11-28,A,Norte,Activo,72.66,292.95,20,15.22,40.66
143,2023-02-23,C,Norte,Activo,93.2,1046.56,38,25.11,162.28
144,2023-05-04,A,Norte,Inactivo,71.12,2720.53,56,48.17,407.29
145,2023-11-08,B,Sur,Pendiente,71.74,473.83,19,25.96,74.4
146,2023-07-15,B,Este,Pendiente,51.45,408.06,9,41.23,59.66
147,2023-02-10,A,Centro,Activo,79.33689264229524,599.24,27,19.89,93.08
148,2023-01-26,A,Sur,Activo,77.96,5539.84,101,55.47,829.11
149,2023-04-10,A,Norte,Inactivo,65.11,2497.88,46,55.08,375.91
150,2023-02-21,A,Sur,Activo,81.65,8788.68,116,76.25,1311.43
151,2023-06-01,D,Sur,Pendiente,84.18,70.19,12,5,12.98
152,2023-12-20,B,Centro,Activo,100.41,2673.22,49,54.34,399.36
153,2023-05-17,C,Centro,Activo,93.68,10779.61,135,79.47,1608.76
154,2023-11-02,D,Oeste,Inactivo,52.41,6236.47,89,70.26,932.71
155,2023-08-14,C,Norte,Inactivo,67.92,333.93,13,30.86,48.22
156,2023-01-02,C,Sur,Activo,71.09,1237.64,29,45.68,184.45
157,2023-05-12,D,Sur,Activo,75.99,2105.76,41,52.22,315.12
158,2023-11-08,C,Norte,Inactivo,76.83,221.53,5,34.3,90.54
159,2023-06-04,D,Sur,Pendiente,76.7,21096.39,196,107.61,3153.79
160,2023-01-07,C,Sur,Activo,68.71,159.32,9,18.9,26.52
161,2023-12-21,A,Centro,Inactivo,79.48,1185.55,33,36.51,178.59
162,2023-05-23,A,Sur,Activo,78.72,1155.59,36,31.9,172.85
163,2023-03-24,C,Centro,Activo,101.26,1565.41,64,24.63,230.68
164,2023-03-30,A,Este,Activo,88.82,2017.78,48,42.46383387320685,299.28
165,2023-01-16,B,Centro,Activo,91.66,371.88,12,30.43,50.25
166,2023-11-21,B,Norte,Pendiente,77.27,11059.07,130,84.77,1652.47
167,2023-08-26,D,Centro,Inactivo,73.3,6946.1,101,67.94,1039.05
169,2023-06-28,D,Oeste,Inactivo,66.81,519.95,24,22.52,84.6
170,2023-05-10,B,Norte,Activo,93.02,7690.36,124,61.3,1151.89
171,2023-01-03,D,Oeste,Activo,75.03,1246.39,33,37.79,185.73
172,2023-09-18,A,Oeste,Activo,71.16,1180.63,22,51.29,170.44
174,2023-04-15,B,Centro,Activo,91.13,3569.13,64,56.7,526.46
175,2023-02-28,D,Norte,Pendiente,78.6,2053.48,48,43.76,309.85
177,2023-07-01,B,Norte,Activo,88.79,1076.36,37,27.29,162.2
178,2023-12-29,A,Centro,Activo,101.38,1328.03,43,30.69,204.23
179,2023-04-06,D,Oeste,Activo,65.74,722.24,20,32.85,108.54
180,2023-07-01,D,Centro,Activo,85.1,3318.12,59,56.3,497.62
181,2023-04-15,A,Sur,Activo,81.63,1088.48,33,31.17,161.71
182,2023-04-13,A,Norte,Activo,97.89,346.36,9,41.43,52.23
183,2023-02-21,A,Centro,Activo,95.12,700.82,26,25.55,106.65
184,2023-05-22,B,Este,Pendiente,54.18,2074.25,50,43.13,307.3
186,2023-03-04,A,Centro,Inactivo,79.73,5453.52,100,55.51,814.59
187,2023-10-18,B,Oeste,Activo,86.9,1139.07,26,43.91,168.88
188,2023-07-27,A,Este,Inactivo,56.89,489.15,19,28.11,72.69
189,2023-04-13,C,Centro,Activo,92.45,438.53,19,25.53,71.56
191,2023-09-15,A,Este,Activo,54.42,808.6,26,35.21,123.04
192,2023-02-09,B,Norte,Pendiente,79.33689264229524,1675.89,48,34.4,249.03
193,2023-05-23,B,Centro,Activo,95.37,4325.24,80,53.6,648.02
194,2023-10-27,A,Sur,Activo,66.85,306.94,14,18.03,46.96
195,2023-09-21,B,Sur,Inactivo,54.65,4790.7,77,62.58,716.4
196,2023-06-16,D,Sur,Activo,73.34,467.37,21,20.29,71.8
197,2023-09-16,A,Este,Activo,84.95,2138.61,41,53.91,314.87
199,2023-03-04,B,Sur,Inactivo,58.46,7518.68,112,67.82,1126.16
200,2023-12-29,A,Centro,Activo,98.04,1906.31,47,40.28,286.9
201,2023-04-18,A,Oeste,Activo,86.45,539.7,17,27.52,245.34
202,2023-06-21,A,Este,Activo,81.64,1180.73,35,41.04,220.33
203,2023-09-03,C,Centro,Activo,96.06,412.26,15,29.39,67.87
204,2023-04-25,A,Norte,Activo,76.02,2497.42,48,50.62,367.89
205,2023-04-10,A,Este,Activo,73.1,97.99,5,30.22,11.04
206,2023-09-02,B,Sur,Activo,83.73,1878.68,44,43.24,275.56
207,2023-02-04,A,Centro,Inactivo,86.56,2159.93,45,42.46383387320685,315.84
208,2023-05-28,B,Centro,Inactivo,84.04,2865.56,52,42.46383387320685,426.27
209,2023-12-18,D,Centro,Activo,100.44,29739,220,134.82,4446.56
210,2023-11-02,B,Centro,Inactivo,88.15,3563.3,56,63.78,533.06
211,2023-03-02,C,Norte,Activo,88.85,6245.35,96,65.58,929.19
212,2023-06-18,C,Sur,Inactivo,63.35,848.63,24,35.82,123.15
213,2023-10-11,C,Sur,Activo,82.63,283.4,20,42.46383387320685,49.09
214,2023-03-02,A,Oeste,Activo,80.09,8985.71,116,77.66,1340.94
215,2023-11-20,C,Sur,Inactivo,66.91,481.37,14,33.92,428.9795395650162
216,2023-08-04,D,Norte,Pendiente,86.17,5198.3,75,69.45,773.17
217,2023-11-04,D,Centro,Activo,104.15,1166.72,37,30.34,177.68
218,2023-02-15,C,Norte,Inactivo,76.32,530.46,20,24.46,81.73
219,2023-02-16,C,Centro,Pendiente,94.95,10512.07,118,89.07,1563.83
220,2023-04-27,A,Norte,Activo,78.55,692.6,31,22.61,103.35
221,2023-12-21,D,Norte,Inactivo,68.51,2763,50,56.46,413.59
222,2023-06-29,A,Este,Activo,71.04,2905.14,57,50.93,1296.42
224,2023-12-22,B,Centro,Activo,93.88,1089.82,28,37.39,492.96
225,2023-09-23,A,Oeste,Activo,68.53,581.83,22,24.34,92.71
226,2023-11-07,A,Sur,Activo,70.4,989.58,33,29.79,145.28
227,2023-05-15,B,Oeste,Activo,69.49,1959.65,46,41.63,290.12
228,2023-07-02,D,Oeste,Activo,56.94,1342.57,31,45.02,200.97
230,2023-04-28,A,Este,Pendiente,61.53,5580.58,78,71.61,831.25
231,2023-03-01,C,Centro,Pendiente,94.7,863.32,31,24.43,132.97
232,2023-01-09,A,Norte,Inactivo,77.73,176.62,10,18.65,29.04
233,2023-12-07,D,Centro,Inactivo,85.96,1180.73,18,29.18,63.59
235,2023-04-20,A,Centro,Activo,96.45,1747.29,47,36.25,262.13
236,2023-08-01,A,Norte,Activo,94.24,1493.66,48,32.46,226.9
237,2023-06-01,A,Norte,Activo,85.23,98.87,9,10.46,15.16
238,2023-01-12,D,Norte,Inactivo,83.66,1125.83,32,34.88,169.85
239,2023-03-30,C,Sur,Pendiente,66.12,1288.02,24,54.58,190.46
240,2023-01-11,C,Centro,Inactivo,81.27,559.8,21,27.33,82.73
242,2023-11-23,B,Sur,Pendiente,64.53,381.19,22,16.96,52.07
243,2023-11-18,B,Oeste,Inactivo,54.55,852.01,24,36.23,124.89
244,2023-12-13,D,Oeste,Activo,74.84,64.89,8,8.63,13.04
245,2023-12-19,C,Sur,Inactivo,58.36,2588.19,46,56.72,381.85
246,2023-09-22,A,Oeste,Inactivo,53.38,4422.85,79,56.17,663.01
247,2023-01-27,C,Centro,Activo,93.31,761.74,25,30.7,352.23
248,2023-05-30,C,Oeste,Activo,87.99,1731.54,50,36.07,258.99
249,2023-05-06,D,Norte,Pendiente,74.82,139.47,16,12.75,27.3
250,2023-05-06,D,Sur,Activo,85.26,1180.73,26,48.22,185.25
251,2023-10-23,A,Sur,Activo,87.33,1218.72,50,24.33,188.84
252,2023-11-15,A,Oeste,Inactivo,58.64,937.68,40,22.09,141.09
253,2023-04-07,A,Centro,Activo,88.6,552.82,27,19.52,82.87
254,2023-01-06,B,Norte,Activo,89.72,2037.26,35,57.36,301.37
255,2023-08-27,D,Oeste,Activo,80,448.84,17,27.85,68.85
256,2023-09-27,C,Sur,Activo,70.84,3114.86,59,52.72,464.18
257,2023-10-11,A,Oeste,Activo,72.42,1733.21,39,44.37,258.97
258,2023-02-25,B,Centro,Activo,95.94,937.55,25,42.46383387320685,139.18
259,2023-05-01,C,Centro,Inactivo,75.13,997.41,37,25.76,153.33
